What is Self-Regulated Learning (SRL)?,"A crucial higher-order skill where learners actively plan, monitor, and evaluate their own learning processes to adapt to changing environments."
"According to Alvarez et al. (2022), what are the three most prevalent SRL processes supported by online tools?","Goal setting, monitoring, and self-evaluation."
What was a key finding by Alvarez et al. regarding the relationship between tool functionalities and SRL processes in their reviewed studies?,"The relationship is rarely described, making it difficult to measure the tool's impact on self-regulation."
"The Zimmerman (2002) model of SRL, commonly used in AI-in-education research, consists of what three phases?","Forethought (planning), performance (doing), and self-reflection (looking back)."
"Winne and Hadwin's model of SRL takes a _____ perspective, arguing that students manage learning by monitoring and using (meta)cognitive strategies.",metacognitive
"According to Delikoura et al. (2025), what are the three distinct types of load in Cognitive Load Theory (CLT)?","Intrinsic load, extraneous load, and germane load."
"In Cognitive Load Theory, which type of load stems from the way information is presented and is considered non-essential to the learning task?",Extraneous load.
"In Cognitive Load Theory, _____ load involves the mental effort required to integrate new knowledge into long-term memory.",germane
What is the primary risk when LLMs reduce extraneous load but also diminish the productive effort of germane load?,Metacognitive processes are not triggered because learners do not need to stop and think.
"What term, mentioned by Delikoura et al. (2025) and Ma et al. (2025), describes a growing dependence on technology rather than one's own cognitive abilities, where students bypass essential evaluation processes?",Metacognitive laziness.
Delikoura et al. (2025) propose the LLM-Risk Adapted Learning Model with what three stages?,"Interaction, Monitoring, and Outcome (IMO)."
"In the IMO model, why does the learning cycle's opening phase shift from reflective planning to immediate interaction when LLMs are integrated?","Entering a prompt does not constitute genuine planning, which requires a deliberate cognitive process of considering goals and strategies."
What are common model-level risks of LLMs in education identified by Delikoura et al. (2025)?,"Superficial understanding, bias, limited robustness, anthropomorphism, hallucinations, privacy concerns, and knowledge constraints."
What cognitive and behavioral risks for learners arise from interaction with LLMs?,"Reduced neural activity, over-reliance, diminished independent learning skills, and a loss of student agency."
"A key concern raised in Ma et al. (2025) is that while students value LLMs for error correction and concept explanation, they are also wary of what primary issue?","The accuracy and reliability of responses, noting that AI can 'sound confident while being wrong'."
What type of AI assistance did educators consistently prefer in the Ma et al. (2025) study to prevent students from bypassing critical reasoning?,"Indirect scaffolding (e.g., hints, step-by-step plans, Socratic questioning) rather than direct runnable code."
"According to Wu et al. (2025), Habermas's 'technical interest' in the context of AI chatbots for SRL relates to what goal?","Controlling processes to achieve greater efficiency and optimization, such as through personalized feedback and predictive analytics."
"In the framework by Wu et al. (2025), what does Habermas's 'practical interest' concern?","Enhancing communicative action and mutual understanding, which chatbots can mediate through peer interaction and co-regulation."
"Habermas's third knowledge interest, 'emancipatory interest,' relates to chatbots promoting what kind of learning activity?","Critical self-reflection, where learners challenge their assumptions and develop autonomy."
What social structure does Wu et al. (2025) suggest for effective chatbot implementation to facilitate co-regulation?,Teacher-peer-chatbot triads.
What type of AI application was most frequently used to support SRL in the studies reviewed by Lan and Zhou (2025)?,Chatbots.
"The systematic review by Alvarez et al. (2022) found that _____ were the most common functionality in SRL tools, used for tasks like setting goals and scheduling.",input forms
What SRL strategy was found to be the least supported by the tools reviewed in Alvarez et al. (2022)?,Help seeking.
"According to the review by Ren et al. (2025), what was the overall finding regarding the effect of AI on SRL in education?",The majority of studies (69%) reported positive effects.
The Ren et al. (2025) review found that _____ were the most common research measurement tool used to evaluate AI's effectiveness on SRL.,questionnaires
What is 'anthropomorphism' as a risk of LLMs in education?,"The tendency for LLMs to have human-like characteristics, which can lead students to over-trust their fluent but potentially inaccurate responses."
What is the primary function of a Learning Analytics Dashboard (LAD) in the context of SRL?,To visualize learner data and provide feedback about learning strategies and progress to support monitoring and self-evaluation.
The study by Ma et al. (2025) identified three metacognitive phases during which students interact with AI in programming tasks. What are they?,"Planning, monitoring, and evaluation."
"In the planning phase of programming, what type of student question did educators in Ma et al.'s study rate as having the highest learning value?",Conceptual questions.
"What is a key trade-off in designing metacognition-supportive AI assistants, as identified by Ma et al. (2025)?","Balancing learning vs. task completion, where the tool must support deeper understanding rather than just providing quick solutions."
"What is the PRISMA guideline, which is referenced in several of the provided systematic reviews?",A set of evidence-based minimum items for reporting in systematic reviews and meta-analyses.
"In the context of student writing, what kind of feedback do LLMs like ChatGPT often produce compared to human teachers?","LLM feedback is often generic, repetitive, and lacks the contextual sensitivity and indirect cues that encourage self-reflection."
"What is a 'quasi-experimental' design, a method used in several studies reviewed by Lan and Zhou (2025)?",A research design that resembles an experiment but lacks the random assignment of subjects to treatment and control groups.
Wu et al. (2025) found that the vast majority of research on AI chatbots for SRL was conducted in what educational setting?,Higher education.
"According to Lan and Zhou (2025), how can an AI-powered evaluation system support the self-reflection phase of SRL?","By offering data-driven feedback, tailored action recommendations, and detailed reports on specific errors (e.g., in writing or coding)."
What does the term 'instructional scaffolding' mean in the context of AI-supported learning?,"Providing temporary, targeted support (like hints or step-by-step guidance) that is gradually removed as the learner becomes more competent."
"According to Delikoura et al. (2025), a risk of relying on LLMs is the homogenization of students' _____ patterns.",reasoning
What key benefit of AI in programming education was highlighted by students in the Ma et al. (2025) study regarding efficiency?,"The ability to quickly identify and correct code errors, which saves time and reduces frustration."
The systematic review by Wu et al. (2025) identifies 'emancipatory reflection' as an underexplored area. What does this concept entail?,"A critical form of self-reflection where learners examine their underlying assumptions and develop autonomy, moving beyond simple performance evaluation."
What is the primary risk of an AI assistant providing a complete solution to a programming problem too quickly?,"It may discourage student persistence and exploration, undermining the development of problem-solving skills."
"According to Koc-Januchta et al. (as cited in Lan & Zhou, 2025), a higher germane cognitive load correlated with the use of an AI textbook feature that offered what?","Linked suggested questions, implying the tool promoted deep learning."
"In the forethought phase of SRL, how can AI tools specifically support 'goal setting'?","By providing recommendations for learning paths, showing goals of previously successful learners, or using input forms to define objectives."
"What is a primary pedagogical concern with using LLMs for grading and feedback, as noted by Delikoura et al. (2025)?","The LLM's superficial understanding of subjective or creative student work, leading to evaluations that may not capture deep learning."
"The practice of breaking down complex tasks into smaller, more manageable parts is a teaching strategy known as _____.",divide-and-conquer
"How did Siadaty et al. propose measuring SRL processes through tool interaction, as mentioned by Alvarez et al. (2022)?","By associating tool functionalities with specific SRL processes, so that learner interactions with those functionalities serve as a proxy for measuring the processes."
"What is the 'superficial understanding' risk of LLMs, as defined by Delikoura et al. (2025)?","The limited capacity of LLMs to interpret subjective or creative student responses, highlighting a lack of nuanced comprehension."
A key finding in the review by Alvarez et al. (2022) is that few SRL support tools move beyond a prototype phase to be used in _____ learning settings.,actual
"According to Ma et al. (2025), what is Socratic questioning as a form of indirect scaffolding by an AI assistant?",A method of transforming a request for a solution into a series of reflective prompts to foster independent problem-solving and critical thinking.
What component of the Intrinsic Motivation Inventory (IMI) measures a person's feelings of nervousness and pressure during a task?,Pressure/Tension.
The 'limited robustness' of LLMs encompasses what set of issues?,"Inaccuracies, inconsistencies, system fatigue, and unpredictable behavior."
What is the main function of 'class comparison' functionality in an SRL tool?,It allows learners to compare their performance or progress with that of their peers or previously successful students.
"In the self-reflection phase of SRL, what is the difference between self-evaluation and self-judgment?","Self-evaluation involves assessing one's performance against a standard, while self-judgment involves making causal attributions for the outcome."
Why is it important for the designers of SRL-supporting tools to explicitly state the SRL theoretical model they used?,To justify the choice of functionalities and create a clear association between the tool's design and the SRL processes it aims to support.
"The review by Delikoura et al. (2025) suggests that as students increasingly rely on LLM-generated content, their active involvement in shaping their learning, known as _____, may be reduced.",student agency
"In programming education, students in Ma et al.'s (2025) study wanted AI to provide context awareness by doing what?","Aligning its answers with class materials, such as providing code using methods taught by the teacher."
"According to Wu et al. (2025), how can AI chatbots support learners' SRL during the performance phase?","By providing real-time task scaffolding, instant corrective feedback, and acting as social mediators for collaboration."
"What is a key limitation of many empirical studies on AI in education, as noted in the Delikoura et al. (2025) review?","Most evidence stems from short-term interventions, leaving questions about the sustained cognitive and social impacts in classrooms."
"In the SRL framework, the 'performance' phase includes self-control strategies. How can an AI tool support this?","By providing automated assistance, reinforcing concepts through repetition and quizzes, or helping learners stay on task."
What type of data can be collected from tool logs to better understand which self-regulation processes are being supported?,Trace data of learners' interactions with the different functionalities of the tool.
"According to Metacognitive Theory, what are the three key components of managing one's own learning?","Metacognitive knowledge (planning), metacognitive experiences (awareness/reflection), and metacognitive monitoring (evaluation/adjustment)."
Why might educators view AI-generated 'code optimization' suggestions with skepticism in introductory courses?,Because optimizing code is often an advanced skill not applicable to the core learning objectives of a typical introductory coursework.
"According to the Lan and Zhou (2025) review, how does Engagement Theory's concept of 'cognitive engagement' relate to SRL?","It encompasses students' psychological commitment to learning, their use of learning strategies, and their ability to self-regulate during academic tasks."
What is the 'hallucination' risk associated with LLMs?,The tendency of the model to generate false or nonsensical information that is presented as factual and fluent.
"In the Lan and Zhou (2025) review, how did one AI-based system support the forethought phase of SRL?",It assisted students in setting course goals and planning their learning activities by generating recommendations that aligned tasks with those goals.
"What is 'bias' as a risk in LLMs, particularly in an educational context?","The risk that a model exhibits tendencies (e.g., Anglocentric) that marginalize diverse perspectives and reinforce cultural or linguistic inequalities in learning content."
"A study by Yin et al. (as cited in Lan & Zhou, 2025) found that while chatbot-based micro-learning matched traditional teaching in performance, it significantly increased what?","Intrinsic motivation, due to perceived choice and value."
How can providing 'source transparency' act as a mitigation strategy during the 'Monitoring' stage of the IMO model?,"It allows learners to verify the information provided by the LLM, prompting active critique rather than passive acceptance."
A systematic review by Alvarez et al. (2022) focused on analyzing SRL support tools published between which years?,2008 and 2020.
"What is the core function of an Automated Writing Evaluation (AWE) system like Pigai, as described in Lan and Zhou (2025)?","To generate real-time feedback on written texts, including holistic scoring, diagnostic feedback, and overall comments."
"In the performance phase of SRL, how do AI tools facilitate 'help-seeking'?","By functioning as conversational agents or chatbots that can answer questions, respond to inquiries, or provide access to educational consultants."
What is a potential negative consequence of AI assistants that are too effective at reducing cognitive load?,They may undermine the germane cognitive load essential for deep understanding and long-term retention.
What practical suggestion for future research does Wu et al. (2025) give regarding educational contexts?,"To systematically investigate diverse contexts beyond higher education, such as K-12 settings, adult learning, and vocational training."